ProduktID;Product_name;Preis;KategorieID
1;Tiffany & Co. Diamant-Verlobungsring;121;18
2;LEGO Star Wars Millennium Falcon Set;184;9
3;Fender Stratocaster E-Gitarre;40;13
4;Levi's 501 Jeans;190;2
5;Yamaha YPG-235 Digital Keyboard;106;13
6;Bulgari Serpenti Diamond Ring;245;18
7;Ikea Malm Kommode;16;10
8;Graco Pack 'n Play Portable Playard;161;17
9;HP LaserJet Pro Drucker;53;20
10;Royal Canin Adult Trockenfutter für Katzen;271;15
11;Dyson V11 Absolute Staubsauger;87;4
12;David Yurman Cable Classic Armreif;294;18
13;Pampers Swaddlers Diapers;8;17
14;Moleskine Classic Notizbuch;269;27
15;Frontline Plus Floh- und Zeckenschutz für Hunde;25;15
16;Pandora Charm-Armband;101;18
17;Samsung Galaxy S21 Smartphone;76;1
18;Der Herr der Ringe;124;3
19;Fitbit Charge 4 Fitness-Tracker;265;16
20;Instant Pot Duo Plus Schnellkochtopf;50;4
21;Wilson Pro Staff Tennisschläger;124;6
22;Monopoly Classic Brettspiel;45;9
23;Swarovski Crystal Ohrringe;170;18
24;Apple MacBook Pro Laptop;183;12
25;Staedtler Triplus Fineliner Stifte;329;40
26;Apple MacBook Pro Laptop;182;1
27;Game of Thrones: Die komplette Serie (DVD-Boxset);279;14
28;Fellowes Aktenvernichter;5;20
29;Cartier Love Bracelet;2;18
30;Trixie Kratzbaum für Katzen;289;15
31;Marvel's Avengers: Endgame (Blu-ray);286;14
32;Rolex Submariner Herrenuhr;267;19
33;Clarisonic Mia 2 Gesichtsreinigungsbürste;155;5
34;Coleman Campingzelt;137;6
35;Adidas Ultraboost Sneakers;73;2
36;Netflix Premium-Abonnement;241;14
37;TAG Heuer Carrera Chronograph;253;19
38;Eames Lounge Chair;215;10
39;Garmin Forerunner 245 GPS-Laufuhr;68;6
40;Zara Trenchcoat;52;2
41;Michelin Pilot Sport 4 Reifen;93;11
42;Fisher-Price Infant-to-Toddler Rocker;56;17
43;BabyBjörn Baby Carrier;135;17
44;WMF Besteckset Miami;108;7
45;Philips Sonicare elektrische Zahnbürste;209;16
46;Intex Easy Set Pool;93;8
47;Pampers Swaddlers Diapers;1;17
48;Alex and Ani Birthstone Halskette;156;18
